p_val,avg_log2FC,pct.1,pct.2,p_val_adj,gene
2.31871865388004e-19,-3.934879852,0.107,0.892,3.81243721070957e-15,PDK4
1.23387495335702e-17,-2.282956151,0.369,0.946,2.02873719830961e-13,ZFAND5
1.56382560339921e-17,-5.632700251,0.036,0.703,2.57124205710898e-13,NR4A1
1.03498103676001e-15,-2.343566717,0.28,0.892,1.70171582064082e-11,CEBPD
2.59159731867441e-14,-7.989466303,0.006,0.541,4.26110431136446e-10,ATF3
4.47236699068079e-14,-2.417383827,0.161,0.865,7.35346580607736e-10,USP2
4.72885680828925e-12,-6.499163644,0.012,0.514,7.77518636418918e-08,CSRNP1
1.18666794618991e-11,-3.337288886,0.131,0.73,1.95111943712545e-07,KLF6
2.36146875505342e-11,1.663272116,0.851,0.568,3.88272692705883e-07,WFDC2
6.23889567792559e-11,-4.168746258,0.03,0.486,1.02579922736453e-06,FOSB
7.42712873813158e-10,-2.869212535,0.155,0.649,1.22116850712359e-05,ZFP36
9.37693244807059e-10,-3.21636626,0.113,0.676,1.54175523311177e-05,EGR1
1.04551876005247e-09,-2.844726026,0.149,0.676,1.71904194527826e-05,JUNB
1.18831125567421e-09,-2.311227559,0.167,0.784,1.95382136657954e-05,KLF9
1.9167750632485e-09,-4.040820079,0.024,0.459,3.15156155899318e-05,ERRFI1
9.4331416283961e-09,-3.627436656,0.042,0.514,0.0001551,CDKN1A
1.05327011244295e-08,1.880108329,0.643,0.324,0.000173179,ITM2C
1.20687292951591e-08,6.504481856,0.363,0,0.000198434,RNASEK
1.28124364939015e-08,-1.216893012,0.542,0.838,0.000210662,JUND
1.48496796599508e-08,-4.438132391,0.03,0.459,0.000244158,PER1
1.820840773336e-08,-1.468543388,0.375,0.838,0.000299383,EGF
3.37028640450576e-08,6.326865899,0.327,0,0.000554142,ATP6V0C
8.12288447895316e-08,-3.312459355,0.048,0.486,0.001335565,TIPARP
8.88494048787701e-08,-3.27556946,0.065,0.514,0.001460862,SGK1
9.63449370566936e-08,-3.938314545,0.048,0.486,0.001584103,MAFF
1.60595229516782e-07,5.414793077,0.268,0,0.002640507,PPP1R35
1.69187204826731e-07,-2.063347797,0.232,0.757,0.002781776,ARID5B
2.2097790926568e-07,-2.268615268,0.167,0.676,0.003633319,JUN
2.94106916361026e-07,-2.531919399,0.113,0.595,0.004835706,FOS
2.98793901750543e-07,-3.346442289,0.065,0.459,0.004912769,EPHA2
3.43829973705228e-07,-2.799628796,0.101,0.568,0.005653252,FKBP5
3.52248127500232e-07,6.20209037,0.304,0,0.005791664,EEF1G
4.35459147601375e-07,-0.98427079,0.661,0.973,0.007159819,UBC
4.49084595286488e-07,-2.395172187,0.042,0.432,0.007383849,KLF15
4.7332568702373e-07,-3.3330478,0.083,0.541,0.007782421,BTG2
6.79799386519025e-07,1.978325666,0.643,0.297,0.011177262,COL4A3
8.99158527947825e-07,-2.526547026,0.054,0.432,0.014783965,GSTA2
1.34529494265418e-06,1.499263672,0.595,0.378,0.022119339,FOLR1
1.52000014123883e-06,6.069513939,0.274,0,0.024991842,TLE5
1.98440276483653e-06,-1.864660929,0.208,0.676,0.03262755,DUSP1
2.23696162186809e-06,5.896425021,0.262,0,0.036780123,MICOS13
3.08757313997354e-06,0.90525354,0.946,0.811,0.050765878,FXYD2
3.4394306454384e-06,-2.087461467,0.161,0.649,0.056551119,NFKBIA
4.25607455408377e-06,5.911908074,0.238,0,0.069978378,MICOS10
5.25918842738184e-06,5.311129698,0.22,0,0.086471576,TOMM6
5.43118833955017e-06,3.694224116,0.315,0.054,0.089299599,TIMP1
5.90891873898734e-06,1.237885989,0.583,0.459,0.097154442,CA4
6.93454301263153e-06,4.78153583,0.179,0,0.114017756,RBM4
7.97145054162655e-06,-1.445572862,0.286,0.784,0.13106659,USP53
8.87569593861394e-06,-1.480046025,0.333,0.595,0.145934193,VMP1
9.07092023575794e-06,-1.581824595,0.292,0.784,0.149144071,HSPA1A
1.03071798206989e-05,5.563580377,0.22,0,0.169470651,MRPS24
1.29974628355751e-05,-6.10114289,0.006,0.243,0.213704284,OVOL1
1.33927974909575e-05,-0.925443186,0.518,0.919,0.220204376,RHOBTB3
1.53140962415309e-05,-0.964730044,0.548,0.811,0.25179437,HSPB1
1.58885341159496e-05,-0.480961431,0.815,0.919,0.261239278,S100A10
1.65203844673092e-05,2.773502343,0.31,0.081,0.271628161,C12orf75
1.71716585021995e-05,1.588087041,0.577,0.297,0.282336409,BBOX1
1.82465318426834e-05,-2.823561546,0.06,0.432,0.300009477,C1orf115
2.05971120880826e-05,-0.680149461,0.72,0.973,0.338657717,RPL13A
2.10058698531907e-05,-2.961671638,0.101,0.486,0.345378512,RNF152
2.13219692565338e-05,-1.737751828,0.238,0.676,0.350575819,GADD45A
2.14016612525951e-05,5.324698203,0.208,0,0.351886114,SEPTIN2
2.18817412865463e-05,1.017037215,0.875,0.568,0.35977959,N4BP2L2
2.20064343285419e-05,2.277647158,0.381,0.135,0.361829793,ITGAV
2.31260605053808e-05,5.173766206,0.19,0,0.380238687,SEPTIN7
2.43749560263279e-05,3.735306064,0.363,0.054,0.400773027,NME2
2.5152047918727e-05,5.01998917,0.173,0,0.413549972,PRXL2A
2.54327728961309e-05,-0.483831805,0.821,0.973,0.418165652,CKB
