"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene"
1.1478510044073e-38,-2.17875071698703,0.44,0.904,1.88729662144649e-34,"MT2A"
1.86171457501995e-33,-3.06138317954584,0.163,0.84,3.0610311042478e-29,"DUSP1"
1.10549404789513e-29,-3.77416583330429,0.091,0.702,1.81765331354918e-25,"APOLD1"
1.74816841529772e-29,-2.78848009353496,0.22,0.787,2.8743385084325e-25,"MT1X"
5.29678508141949e-27,-2.32011202066421,0.258,0.819,8.70897403086992e-23,"CEBPD"
8.98084784363381e-27,-2.8051119407426,0.167,0.777,1.47663100245027e-22,"ZFP36"
2.9476166412496e-22,-2.43551669235605,0.23,0.723,4.84647128154259e-18,"MT1E"
2.06203498158929e-21,-3.04614113144585,0.158,0.638,3.39039791672912e-17,"MT1M"
2.79026506425019e-21,-1.70299448796205,0.344,0.883,4.58775381864015e-17,"KLF9"
9.52327093006122e-20,-3.65914232141069,0.053,0.511,1.56581620632067e-15,"EGR1"
5.41914649874447e-19,-2.35672408641476,0.22,0.723,8.91016067323565e-15,"JUN"
2.09787663491064e-17,-1.18248230998895,0.56,0.883,3.44932876312007e-13,"JUND"
5.42025362781309e-17,-4.0233813131271,0.048,0.457,8.91198101485028e-13,"FOSB"
6.01982138041626e-17,7.73129864462913,0.34,0,9.89779031368042e-13,"SEPTIN2"
2.82876457021815e-16,-2.38129044938489,0.187,0.628,4.65105470635268e-12,"AKAP12"
1.52086392359956e-15,7.87087864556687,0.33,0,2.50060446318239e-11,"TLE5"
5.36161632268018e-15,-2.57850895359805,0.134,0.543,8.81556955775076e-11,"HLA-DRB5"
2.75582948017486e-14,2.15850137586149,0.579,0.16,4.53113483130351e-10,"TCIM"
2.96478773165522e-14,7.67921465576637,0.301,0,4.87470398838751e-10,"SEPTIN7"
4.57001745391897e-14,-8.75161186369559,0,0.245,7.51402269773357e-10,"MT1A"
8.18047446519625e-14,-1.9015647888654,0.249,0.691,1.34503361156757e-09,"JUNB"
9.38648823456812e-14,-2.49961467442336,0.144,0.564,1.54332639552769e-09,"FOS"
1.08610968753155e-13,-2.67273644576937,0.091,0.5,1.78578154823937e-09,"FKBP5"
1.27318005365975e-13,-3.48273223505082,0.043,0.394,2.09336264422737e-09,"F2RL3"
3.27610419858166e-13,-4.21204000107013,0.024,0.34,5.38657052330797e-09,"CSRNP1"
1.48624970965652e-12,4.69331452811388,0.335,0.021,2.44369177261726e-08,"RNASEK"
4.66125240288497e-12,-3.50297836250519,0.038,0.351,7.66403120082347e-08,"NR4A1"
6.35192960474006e-12,-4.59262197626184,0.005,0.234,1.04438426561136e-07,"MAFF"
1.20844071540442e-11,-0.470282145075907,0.88,0.968,1.98691822426795e-07,"TPT1"
1.21712300192431e-11,-4.66683758774367,0.019,0.287,2.00119363976396e-07,"ATF3"
1.47942619818145e-11,-0.368859450251344,0.55,0.447,2.43247255504994e-07,"CAVIN2"
2.09872995246655e-11,-2.57017733159308,0.096,0.457,3.4507317878455e-07,"CEBPB"
2.32634598222398e-11,-2.35569224882142,0.144,0.489,3.82497806397266e-07,"SOCS3"
2.71287090642022e-11,-1.76871922067811,0.244,0.617,4.46050234433613e-07,"TSC22D1"
3.42355890158124e-11,-1.80977434023502,0.225,0.574,5.62901554597988e-07,"CA4"
5.67926868460969e-11,4.35296729947697,0.297,0.021,9.33785357123525e-07,"EEF1G"
7.64239105550511e-11,6.99876934052985,0.225,0,1.25656193734615e-06,"ATP6V0C"
1.48429785455548e-10,-1.85691460909896,0.187,0.574,2.44048253246013e-06,"FAM107A"
1.71909205000684e-10,7.18559414762936,0.22,0,2.82653114862124e-06,"GASK1B"
2.28277989277481e-10,-1.59728241361168,0.278,0.617,3.75334669970035e-06,"MCL1"
4.60625506601593e-10,0.989458586828996,0.847,0.543,7.57360457954339e-06,"SOX18"
1.09474171774846e-09,6.89829327991775,0.211,0,1.79997433232202e-05,"MICOS13"
1.38280420882775e-09,-2.21826594958963,0.105,0.436,2.27360668015458e-05,"PER1"
1.89948294439207e-09,-4.12743485487245,0.01,0.223,3.12312985716944e-05,"SIK1"
2.00831678620475e-09,6.83383895633299,0.196,0,3.30207445987785e-05,"MICOS10"
2.45113320968949e-09,6.62174162102384,0.187,0,4.03015322337146e-05,"RO60"
2.7963929555441e-09,-4.59232270420803,0.014,0.245,4.59782929750561e-05,"CDKN1A"
