"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene"
1.93107525041087e-14,-3.02548443024603,0.164,0.878,3.17507392672555e-10,"CEBPD"
4.83804786399235e-11,-5.28464173139255,0.03,0.561,7.95471829797622e-07,"NR4A1"
7.07788785722807e-11,-4.15853105926894,0.075,0.634,1.16374632148544e-06,"BTG2"
1.20733834472237e-10,-2.77278409082855,0.239,0.78,1.98510570639253e-06,"DUSP1"
8.13988242209639e-08,-2.10143109880645,0.328,0.805,0.00133835946784109,"JUNB"
1.17992570365669e-07,-5.75489072766838,0.015,0.415,0.00194003384195233,"RASD1"
1.31635692891329e-07,-3.88744158166282,0.045,0.463,0.00216435406251924,"CDKN1A"
1.8464852362956e-07,-2.20769006982189,0.343,0.756,0.00303599102551723,"CEBPB"
2.320790978902e-07,-2.29805807868417,0.209,0.659,0.00381584452751067,"FKBP5"
2.40392925625493e-07,-1.05406746640364,0.791,0.902,0.00395254048313436,"MT2A"
2.87095398742611e-07,-2.61002236631507,0.209,0.707,0.00472042254612601,"NFKBIA"
3.60601436210281e-07,-2.16903406094955,0.224,0.683,0.00592900881416944,"EGR1"
6.46711290538817e-07,-2.81167061684034,0.209,0.634,0.0106332270390392,"GADD45B"
7.40459604405153e-07,-2.68943152717546,0.239,0.585,0.0121746368156295,"MT1X"
1.06982608259633e-06,-3.76811390438824,0.119,0.585,0.0175900804500488,"FOSB"
1.80631788835354e-06,-1.22174369651148,0.672,0.878,0.029699478720309,"JUND"
2.77577736148547e-06,-2.48414848919743,0.134,0.537,0.0456393313775442,"TSC22D3"
3.25699065243859e-06,-8.7660829907714,0,0.293,0.0535514403073953,"C3"
3.25699065243859e-06,-8.86895035119337,0,0.293,0.0535514403073953,"PLA2G2A"
3.31498001094455e-06,2.6300124314512,0.567,0.122,0.0545049013399503,"GUCY1A1"
3.33972050111341e-06,-4.25349890616675,0.015,0.366,0.0549116844793067,"MT1A"
4.46957612236084e-06,-8.04959995549267,0,0.293,0.073488770603857,"MFAP5"
5.605777276372e-06,-2.83697973313473,0.194,0.561,0.0921701899781084,"PDK4"
7.09502912715086e-06,6.16834213678377,0.284,0,0.116656468908614,"INAFM1"
1.1166639305831e-05,-2.17742946284165,0.269,0.634,0.183601883466474,"FOS"
1.34309036183993e-05,-8.25811012127613,0,0.268,0.220830917293721,"SFRP4"
2.57204150676975e-05,-2.3247294412611,0.164,0.561,0.422895064543083,"GADD45A"
2.60492728675814e-05,-6.90379229619815,0.015,0.341,0.428302144488773,"SLPI"
2.60679282940271e-05,-7.43473392519656,0,0.244,0.428608877010394,"ITGBL1"
3.54482465320904e-05,-6.7159557023138,0,0.22,0.582840069480631,"SIK1"
4.6147769985497e-05,-0.758358900179016,0.896,1,0.758761634101541,"EIF1"
4.76370355679723e-05,-7.82506445370563,0,0.244,0.783248138808601,"SCARA5"
5.33266710829328e-05,-1.52098973034352,0.418,0.756,0.876797125945581,"RHOB"
5.96813314609488e-05,-3.85559864710306,0.06,0.39,0.98128045188092,"SERPINE1"
6.03658032889214e-05,-3.03644357034902,0.075,0.415,0.992534537676446,"SOCS3"
6.16551143881215e-05,-1.95347172811682,0.373,0.634,1,"JUN"
7.61962619513082e-05,-7.32035514369409,0,0.22,1,"PDGFRL"
8.09362228714035e-05,-2.55674218321456,0.09,0.415,1,"TIPARP"
8.83050431585994e-05,1.72405262043771,0.552,0.171,1,"ATP5MC2"
9.17338901180319e-05,-2.98516011675751,0.09,0.439,1,"FBLN1"
0.000101204208211057,5.21474266680613,0.194,0,1,"GGNBP2"
0.000106584572555259,-6.85225627696708,0,0.195,1,"AHNAK2"
0.000110858551709946,6.29891933141682,0.239,0,1,"EEF1G"
0.000128853948813245,-1.74257547225172,0.388,0.732,1,"ARID5B"
0.000157970020541799,6.46548415937604,0.239,0,1,"NME2"
0.000163840470467016,-4.24943358053516,0.015,0.268,1,"ELL2"
0.000164630847633271,1.46700626705169,0.672,0.268,1,"ATP5F1E"
0.000171498521882394,1.68171570676432,0.612,0.22,1,"SELENOW"
0.000175913538944125,1.10291669952857,0.731,0.366,1,"ITGA1"
0.000176832545861548,6.53973955719444,0.239,0,1,"SEPTIN7"
0.000181466397197052,-6.84880918912465,0,0.195,1,"PCOLCE2"
0.000191069181949597,4.29691709286715,0.284,0.024,1,"RCHY1"
0.000206848306413235,2.55564094376787,0.448,0.098,1,"ENDOD1"
0.000207811798396337,1.60316935792414,0.567,0.195,1,"ATP5PF"
0.000212336793277977,-1.79940493376766,0.224,0.512,1,"MT1M"
0.000248118330241524,4.93260081339768,0.179,0,1,"OLFML1"
0.000254333873696512,5.70916628503742,0.194,0,1,"TRIM22"
0.000279875609717462,4.76218915571769,0.149,0,1,"NUP58"
0.000286392830093141,-0.831836234475824,0.791,0.927,1,"UBC"
0.000288456373321079,0.928888993388184,0.731,0.366,1,"ZEB2"
0.000294236919011052,-1.81782640540265,0.328,0.683,1,"KLF9"
0.000334771151639689,-2.65992303038635,0.06,0.341,1,"SOCS2"
0.000345259289089698,-2.41859597581576,0.179,0.488,1,"DCN"
0.000353356505547225,-1.70366695537251,0.299,0.61,1,"KLF2"
0.000424921938349302,2.269321141368,0.448,0.122,1,"CAVIN3"
0.000430042903874358,3.5507787923936,0.284,0.024,1,"WASHC3"
0.000471503847017797,1.90426750190449,0.388,0.098,1,"CREBRF"
0.000507225231636277,2.32617708967321,0.388,0.073,1,"HOPX"
0.000512328909894514,-6.51309506469389,0,0.171,1,"OMD"
0.000517203456580356,-2.81321787884916,0.149,0.488,1,"NNMT"
0.000538249505124915,-4.21408939417482,0.06,0.366,1,"UAP1"
0.000563392326484252,2.45150533172942,0.388,0.098,1,"HOOK3"
0.000610108566683128,3.79916319692813,0.254,0.024,1,"MIGA1"
0.000626629382793591,1.36284117352293,0.478,0.146,1,"SF3B6"
0.000635311946226758,4.95841084664687,0.164,0,1,"ARL5B"
0.00066192140329113,0.534626580916503,0.851,0.561,1,"PRDX1"
0.000667889046236232,-2.61136438848771,0.134,0.439,1,"TNFRSF12A"
0.000677962107912816,1.31730630286778,0.433,0.098,1,"RRAD"
0.000681578366904472,-2.92915904465276,0.015,0.244,1,"FOXD1"
0.000711987190908282,0.772023186728137,0.552,0.268,1,"ACADVL"
0.000742693383511877,0.894360252123181,0.493,0.195,1,"CCND1"
0.000755379402543146,-6.77175229562591,0.03,0.317,1,"CFD"
0.00077660461002905,0.573624864601669,0.746,0.463,1,"COX7A1"
0.000821580458442949,-2.86184108327579,0.075,0.341,1,"DDIT4"
0.000822612695009669,-5.46613397895176,0.015,0.22,1,"NR4A2"
0.000844139444731686,6.18426617014104,0.194,0,1,"HIGD1B"
0.00084488845868692,-5.88627362616214,0,0.146,1,"DYRK4"
0.000851973584306888,-6.15728391631774,0,0.146,1,"DUSP14"
0.000894269492766261,-0.852565386878426,0.701,0.829,1,"RPS2"
0.000903181713961532,-0.380373776404871,0.716,0.659,1,"C11orf96"
0.000933907770661107,4.69664897214374,0.149,0,1,"POLR2M"
0.000944408996883524,-7.17676417276138,0,0.171,1,"OGN"
0.000949275251928524,0.799112396106936,0.493,0.195,1,"ARHGAP29"
0.000957655483769184,5.06414095623386,0.164,0,1,"AKAP1"
0.00101147732651913,-1.53429413610862,0.343,0.707,1,"VMP1"
0.00102221069105027,3.99546396636549,0.119,0,1,"HPS3"
0.0010448293833557,2.87704912692099,0.313,0.049,1,"METTL26"
0.00108777712560841,4.96746787092603,0.164,0,1,"HOXA9"
0.00108842448945531,5.24271665319569,0.164,0,1,"PCSK1N"
0.00109839952733964,2.37147469066629,0.299,0.049,1,"PTPN14"
0.00110313842655878,-2.25806716293594,0.164,0.463,1,"DNAJB4"
0.00111518638170765,1.18608435951666,0.657,0.293,1,"RACK1"
0.0011262774181541,-0.794757372346151,0.731,0.951,1,"DDX5"
0.0011362350447902,-6.07225930563476,0,0.146,1,"PDPN"
0.0011762538105849,4.5618467586569,0.134,0,1,"FSCN1"
0.00120117889467162,0.254637530591064,0.642,0.439,1,"FIS1"
0.00120253877717226,5.15660914482729,0.164,0,1,"WIPF2"
0.00120472383531982,1.16710047485698,0.627,0.268,1,"SELENOM"
0.00123763340658781,5.18547630735428,0.164,0,1,"IQCK"
0.00130543280835596,4.37916032474373,0.119,0,1,"PIGQ"
0.00130644546897851,-3.72173684688749,0.09,0.39,1,"EMP1"
0.0013472543462586,2.64273839129887,0.299,0.049,1,"AFAP1L2"
0.00135611311938287,0.558549961470538,0.91,0.61,1,"A2M"
0.00136729294277689,1.51943248343441,0.552,0.22,1,"CAVIN1"
0.00140567719892492,0.816520927453703,0.896,0.585,1,"PTMS"
0.00142680799732395,5.33650386445376,0.164,0,1,"HOXA10"
0.00147848809545712,-5.57587150048915,0.015,0.244,1,"MAFF"
0.00149878555563428,5.09330686164467,0.149,0,1,"MCM3"
0.0015033349841479,-1.04246669728183,0.463,0.732,1,"MT1E"
0.00154333341507862,-0.491310489593527,0.94,1,1,"TPT1"
0.00155731832671204,-1.50221409629175,0.358,0.61,1,"ZFP36"
0.0015695065367179,6.44576743499765,0.179,0,1,"MUSTN1"
